PLANT NAME,OPERATING COMPANY,WEBSITE NAME,CONTACT URL
Perry Nuclear Power Plant United States of America,FIRST ENERGY NUCLEAR OPERATING CO.,Contact Address of Firstenergy Nuclear Operating Company ...,https://addresscustomerservicecenternumber.com/Address-Email-Website-Contact-Number-of-Firstenergy-Nuclear-Operating-Company-in-Reading-PA/
Pilgrim Nuclear Power Plant United States of America,ENTERGY NUCLEAR GENERATION CO.,Richard Miller at Entergy Nuclear Generation Company ...,https://leadferret.com/directory/person/richard-miller/501619556
Point Beach Nuclear Power Plant United States of America,WISCONSIN ELECTRIC POWER CO,We Energies | Contact Us,http://www.we-energies.com/home/contactus.htm
Prairie Island Nuclear Power Plant United States of America,Northern States Power Co.,"Lieser v. Northern States Power Co., 268 Minn. 95 ...",https://www.courtlistener.com/opinion/2168101/lieser-v-northern-states-power-co/
R.E. Ginna Nuclear Power Plant United States of America,CCNPP (Calvert Cliffs Nuclear Power Plant Inc.),estimate radionuclide concentrations: Topics by Science.gov,https://www.science.gov/topicpages/e/estimate+radionuclide+concentrations.html
River Bend Nuclear Power Plant United States of America,ENTERGY GULF States INC.,Entergy | Contact Us,http://www.entergy.com/contact_us/
Saint Lucie Nuclear Power Plant United States of America,Florida Power and Light Co.,Florida Power & Light Electric Services - FPL,https://www.fpl.com/support/contact.html
San Onofre Nuclear Power Plant United States of America,Southern California Edison Co.,Contact Us | Customer Support | Home - SCE,http://www.sce.com/ContactUs/
Seabrook Nuclear Power Plant United States of America,FPL (FLORIDA POWER & LIGHT CO.)/Li>,Contact Your Local LIHEAP Provider For Help - FloridaJobs.org,http://www.floridajobs.org/community-planning-and-development/community-services/low-income-home-energy-assistance-program/contact-your-local-liheap-provider-for-help
Sequoyah Nuclear Power Plant United States of America,TENNESSEE VALLEY AUTHORITY,TVA - Contact Us - Tennessee Valley Authority,https://www.tva.gov/About-TVA/Contact-Us
Surry Nuclear Power Plant United States of America,Virginia Electric and Power Co.,Contact Appalachian Power,https://www.appalachianpower.com/contact/
